id,recording,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
11,12756536,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": I. Allegro",\N,0,2015-05-18 21:05:26.603221+00,\N,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": I. Allegro",\N,\N,\N,\N,\N,\N,f,f
12,11311270,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": II. Scherzo",\N,0,2015-05-18 21:05:26.603221+00,\N,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": II. Scherzo",\N,\N,\N,\N,\N,\N,f,f
13,12756538,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": IV. Largo. Allegro risoluto",\N,0,2015-05-18 21:05:26.603221+00,\N,"Sonata No. 29 in B-flat major, Op. 106 ""Hammerklavier"": IV. Largo. Allegro risoluto",\N,\N,\N,\N,\N,\N,f,f
14,16378762,"Piano Sonata in C major, D 840: I. Moderato",\N,0,2015-05-18 21:07:11.236764+00,\N,"Piano Sonata in C major, D 840: I. Moderato",\N,\N,\N,\N,\N,\N,f,f
15,16378763,"Piano Sonata in C major, D 840: II. Andante",\N,0,2015-05-18 21:07:13.373727+00,\N,"Piano Sonata in C major, D 840: II. Andante",\N,\N,\N,\N,\N,\N,f,f
16,16378764,"German Dances, D 783 Op. 33 No. 1",\N,0,2015-05-18 21:07:15.272511+00,\N,"German Dances, D 783 Op. 33 No. 1",\N,\N,\N,\N,\N,\N,f,f
17,16378765,"German Dances, D 783 Op. 33 No. 2",\N,0,2015-05-18 21:07:17.212639+00,\N,"German Dances, D 783 Op. 33 No. 2",\N,\N,\N,\N,\N,\N,f,f
18,16378766,"German Dances, D 783 Op. 33 No. 3",\N,0,2015-05-18 21:07:19.242892+00,\N,"German Dances, D 783 Op. 33 No. 3",\N,\N,\N,\N,\N,\N,f,f
19,16378767,"German Dances, D 783 Op. 33 No. 4",\N,0,2015-05-18 21:07:21.484596+00,\N,"German Dances, D 783 Op. 33 No. 4",\N,\N,\N,\N,\N,\N,f,f
20,16378768,"German Dances, D 783 Op. 33 No. 5",\N,0,2015-05-18 21:07:23.51086+00,\N,"German Dances, D 783 Op. 33 No. 5",\N,\N,\N,\N,\N,\N,f,f
21,16378769,"German Dances, D 783 Op. 33 No. 7",\N,0,2015-05-18 21:07:25.566538+00,\N,"German Dances, D 783 Op. 33 No. 7",\N,\N,\N,\N,\N,\N,f,f
22,16378770,"German Dances, D 783 Op. 33 No. 8",\N,0,2015-05-18 21:07:27.796525+00,\N,"German Dances, D 783 Op. 33 No. 8",\N,\N,\N,\N,\N,\N,f,f
23,16378771,"German Dances, D 783 Op. 33 No. 13",\N,0,2015-05-18 21:07:29.87064+00,\N,"German Dances, D 783 Op. 33 No. 13",\N,\N,\N,\N,\N,\N,f,f
24,16378772,"German Dances, D 783 Op. 33 No. 14",\N,0,2015-05-18 21:07:31.963497+00,\N,"German Dances, D 783 Op. 33 No. 14",\N,\N,\N,\N,\N,\N,f,f
25,16378773,"German Dances, D 783 Op. 33 No. 9",\N,0,2015-05-18 21:07:33.927672+00,\N,"German Dances, D 783 Op. 33 No. 9",\N,\N,\N,\N,\N,\N,f,f
26,16378774,"German Dances, D 783 Op. 33 No. 10",\N,0,2015-05-18 21:07:35.974554+00,\N,"German Dances, D 783 Op. 33 No. 10",\N,\N,\N,\N,\N,\N,f,f
