id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,time,type,cancelled,setlist,comment,edits_pending,last_updated,ended
1995,8adce536-b2ed-438b-aa49-f7f640438946,Ottawa Folk Festival 2012,2012,9,6,2012,9,9,\N,2,f,,,0,2014-12-20 05:02:28.792737+00,t
2001,a0d2c2bc-1ba1-46ac-a6ff-7552160bf09c,Earth at UT Connewitz,2009,4,12,2009,4,12,\N,1,f,,,0,2014-12-22 09:15:22.838282+00,t
2002,73dee7c8-3b9a-4d8f-b3f9-5869d332e556,David Bowie at Hammersmith Riverside Theatre,2003,9,8,2003,9,8,\N,1,f,,,0,2014-12-22 17:07:57.283756+00,t
2003,5312c28c-056f-4d46-aee7-df9b8979c0f7,Storytellers,1999,8,23,1999,8,23,\N,1,f,,,0,2015-01-03 14:38:43.918227+00,t
1996,63f2d5eb-3c79-4184-a6a9-9618b764e3c8,Ottawa Folk Festival 2013,2013,9,4,2013,9,8,\N,2,f,,,0,2014-12-20 16:08:18.752879+00,t
2532,4fc5a00e-0439-4dac-bf66-81186be0aa6c,The Proms 1910,1910,8,13,1910,10,22,\N,2,f,,,0,2015-02-20 20:30:08.376194+00,t
1999,73df2f48-383b-4930-bad3-05ba938be578,Dour 1989,1989,9,16,1989,9,16,\N,2,f,,,0,2014-12-21 13:51:40.295415+00,t
2000,5d34380d-1663-4e13-9d84-a873f287955c,Dour 1990,1990,9,8,1990,9,8,\N,2,f,,,0,2014-12-21 19:40:36.346863+00,t
1985,a4e3893a-6830-4085-bcba-1754afaf0b4e,The Tonight Show with Johnny Carson,1980,9,5,1980,9,5,\N,\N,f,,,0,2014-12-26 20:01:01.308096+00,t
2697,a277cc3f-ea13-4614-961b-5d50c3b7ff1d,Prom 48,1895,10,4,1895,10,4,20:00:00,1,f,,,0,2015-02-21 12:13:19.702104+00,t
1984,b15f4daa-68d6-4c12-a64a-8fc816cf2b96,東京ゲームショウ2014,2014,9,18,2014,9,21,\N,4,f,,,0,2014-12-29 02:50:28.515683+00,t
2714,9c4cfe6a-a0bb-4b59-9082-7d8c66112a24,Prom 15,1896,9,15,1896,9,15,20:00:00,1,f,,,0,2015-02-21 12:35:40.051732+00,t
2743,be48f383-656f-4881-aeb3-9264a05a285d,Prom 09,1897,9,7,1897,9,7,20:00:00,1,f,,,0,2015-02-21 12:46:13.496056+00,t
208,4dcfc36b-a7b7-4f4d-94da-16cc179ef704,コミックマーケット66,2004,8,13,2004,8,15,\N,4,f,,,0,2015-01-28 06:00:15.696335+00,t
3321,5f31d04f-924c-4110-a44d-83b226b0443b,"Los Suaves @ Razzmatazz 1, Barcelona",2015,4,25,2015,4,25,20:30:00,1,f,,Gira La música termina,0,2015-03-31 06:22:16.923905+00,t
3338,fc6da2b2-ab32-4466-bba1-8306f8fa115c,Моральный кодекс в Крокус Сити Холл,2015,4,12,2015,4,12,19:00:00,1,f,,,0,2015-04-01 17:13:20.990621+00,t
